OMP_NUM_THREADS=1

mf	100	100	1	0.003
mf	100	100	2	0.008
mf	100	100	5	0.023
mf	100	100	10	0.047
mf	200	200	1	0.005
mf	200	200	2	0.013
mf	200	200	5	0.049
mf	200	200	10	0.156
mf	500	500	1	0.030
mf	500	500	2	0.079
mf	500	500	5	0.303
mf	500	500	10	0.987
mf	1000	1000	1	0.121
mf	1000	1000	2	0.316
mf	1000	1000	5	1.216
mf	1000	1000	10	3.966
mf	2000	2000	1	0.484
mf	2000	2000	2	1.262
mf	2000	2000	5	4.867
mf	2000	2000	10	15.912

OMP_NUM_THREADS=2

mf	100	100	1	0.002
mf	100	100	2	0.004
mf	100	100	5	0.014
mf	100	100	10	0.024
mf	200	200	1	0.003
mf	200	200	2	0.008
mf	200	200	5	0.025
mf	200	200	10	0.079
mf	500	500	1	0.019
mf	500	500	2	0.043
mf	500	500	5	0.155
mf	500	500	10	0.500
mf	1000	1000	1	0.074
mf	1000	1000	2	0.171
mf	1000	1000	5	0.618
mf	1000	1000	10	2.002
mf	2000	2000	1	0.297
mf	2000	2000	2	0.684
mf	2000	2000	5	2.475
mf	2000	2000	10	8.015

OMP_NUM_THREADS=4

mf	100	100	1	0.001
mf	100	100	2	0.002
mf	100	100	5	0.005
mf	100	100	10	0.013
mf	200	200	1	0.003
mf	200	200	2	0.005
mf	200	200	5	0.017
mf	200	200	10	0.047
mf	500	500	1	0.013
mf	500	500	2	0.023
mf	500	500	5	0.083
mf	500	500	10	0.264
mf	1000	1000	1	0.047
mf	1000	1000	2	0.115
mf	1000	1000	5	0.342
mf	1000	1000	10	1.068
mf	2000	2000	1	0.171
mf	2000	2000	2	0.471
mf	2000	2000	5	1.406
mf	2000	2000	10	4.802

OMP_NUM_THREADS=8

mf	100	100	1	0.005
mf	100	100	2	0.007
mf	100	100	5	0.003
mf	100	100	10	0.008
mf	200	200	1	0.002
mf	200	200	2	0.003
mf	200	200	5	0.010
mf	200	200	10	0.031
mf	500	500	1	0.015
mf	500	500	2	0.016
mf	500	500	5	0.058
mf	500	500	10	0.182
mf	1000	1000	1	0.034
mf	1000	1000	2	0.078
mf	1000	1000	5	0.222
mf	1000	1000	10	0.721
mf	2000	2000	1	0.126
mf	2000	2000	2	0.263
mf	2000	2000	5	0.871
mf	2000	2000	10	2.766

DEFAULT

mf	100	100	1	0.003
mf	100	100	2	0.005
mf	100	100	5	0.003
mf	100	100	10	0.008
mf	200	200	1	0.002
mf	200	200	2	0.003
mf	200	200	5	0.010
mf	200	200	10	0.031
mf	500	500	1	0.018
mf	500	500	2	0.031
mf	500	500	5	0.071
mf	500	500	10	0.176
mf	1000	1000	1	0.047
mf	1000	1000	2	0.065
mf	1000	1000	5	0.224
mf	1000	1000	10	0.734
mf	2000	2000	1	0.125
mf	2000	2000	2	0.254
mf	2000	2000	5	0.876
mf	2000	2000	10	2.753
